rank,alpha,trainable_parameters,frozen_parameters,training_seconds,start_rss_mib,peak_rss_mib,peak_rss_increase_mib,micro_f1,macro_f1,exact_match,json_validity,run_id
4,8,270336,494032768,29.744161500013433,2032.28125,2966.296875,934.015625,0.41379310344827586,0.2816326530612245,0,0.6,f343f65d-96b6-4977-9787-d039607553d1
16,32,1081344,494032768,29.51608295890037,2090.265625,2941.234375,850.96875,0.0,0.0,0,0.8,56a0d041-17f1-4900-b1a6-6523816f7b8a
